Book Name,Author
Journey to the Stars Space exploration,Robert Jastarow
2001: Building for Space Travel,Zukowsky
365 Stary Nights,Chet Raymo
60 plus ... better living in later life,
A concise guide in colour constellations,Hamlyn
A Dictionary Of Astronomy,Pan Books
A Guide-Book to Biochemistry,Harrison
A Labratory Manual of Physics,F. Tyler
Amateur Astronomy,Ronan
Animal Biology,"Grove, Newell"
Antimatter - The Ultimate Mirror,Gordon Fraser
Applications of Numerical Heat Transfer,Nogotov
Black Holes - An Introduction,"Raine, Thomas"
Black Holes and Baby Universes and other essays,Steven Hawking
Blackfoot Physics (A Journey into the Native American Universe),F. David Peat
Brother Astonomer - Adventures of a vatican Scientist,Guy Consolmango
Calculus for Technical Students,Forrest
Calculus with Analitic Geometry - 5th Ed.,"Edwards, Penney"
Carl Sagan's Universe,Carl Sagan
Chemical Engineering Vol.1,Coulson + Richardson
Chemical Engineering Vol.2,Coulson + Richardson
Comets,David M Levy
Data Analysis for Physical Science Students,Louis Lyons
Descartes Dream - The world according to Mathematics,"Philip J. Davis, Reuben Hersh"
Discovering the Universe,"William J. Kaufmann III, Commons"
Disordered Semiconductors,"Kastner , Thomas , Ovshincky"
E=mc^2,David Bodmanis
Eclipse,Steel
Einstein - A Life,Denis Brian
Einstein - His Life and Universe,Walter Isaacson
"Einstein's Clocks, Poincares's Maps",Peter Galison
Electricity,Sir Lawrence Bragg
Electron Optics in Television,I.I.Tsukkerman
Electronic Imaging,T.P Mclean
Elementary Matrices,"Frazer , Duncan , Collar"
Elementary Organic Chemistry,Campaigne
Elements of the Theory of Algebraic Curves,A. Seidenberg
Endless Universe - Beyond the Big Bang,Steinhardt + Turok
Entanglement - The Greatest Mystery in Physics,Amir D. Aczel
Essentials of Chemical Physiology,Halliburton
Faster than the Speed of Light,Joao Magueijo
Feynmann Lectures on Physics Vol.2,"Feynmann, Leighton, Sands"
Fire in the Mind,George Johnson
From Newton to Mandelbrot - A Primer in Theoretical Physics,"Stauffer, Stanley"
Fundamentals of Physics 2nd Ed.,"Halliday, Resnick"
